rainfall_mm,flood_index,alert_count_on_route,active_landslide_alerts,road_disruption_count,historical_risk_score,vehicle_type_weight,risk_level
68.73,0.385,1,0,0,0.19,1.2,LOW
49.88,0.431,2,0,1,0.203,1.8,MEDIUM
119.16,0.609,0,2,0,0.424,1.3,MEDIUM
98.01,0.429,2,2,0,0.451,1.2,MEDIUM
98.97,0.55,0,0,1,0.191,0.9,MEDIUM
41.8,0.4,1,0,2,0.267,0.8,LOW
210.19,0.98,2,0,0,0.301,1.2,MEDIUM
167.46,0.683,0,1,1,0.416,1.8,MEDIUM
30.28,0.15,0,1,0,0.716,1.6,LOW
5.15,0.182,4,1,0,0.351,1.2,LOW
61.38,0.342,1,0,3,0.402,1.8,MEDIUM
75.75,0.381,0,2,0,0.551,1.6,MEDIUM
78.95,0.429,2,0,0,0.179,0.8,MEDIUM
95.32,0.477,2,0,0,0.27,1.8,MEDIUM
55.9,0.412,0,0,0,0.209,1.0,LOW
192.55,0.767,0,0,0,0.388,1.2,MEDIUM
153.54,0.612,2,0,1,0.172,1.0,MEDIUM
91.39,0.396,1,0,0,0.541,1.8,MEDIUM
68.57,0.297,0,1,2,0.339,1.2,MEDIUM
47.02,0.182,0,3,0,0.385,1.8,MEDIUM
92.0,0.462,5,0,0,0.277,1.3,MEDIUM
81.65,0.512,0,0,0,0.48,1.0,MEDIUM
9.25,0.223,0,0,1,0.165,1.6,LOW
78.17,0.557,0,0,0,0.511,0.9,MEDIUM
129.4,0.5,4,0,0,0.506,1.3,MEDIUM
137.22,0.581,1,0,0,0.337,0.8,MEDIUM
84.05,0.578,1,1,0,0.439,0.8,MEDIUM
109.48,0.483,1,0,0,0.139,1.8,MEDIUM
149.29,0.775,1,0,0,0.503,1.8,MEDIUM
48.47,0.339,3,0,0,0.72,0.9,MEDIUM
59.64,0.483,0,0,1,0.222,1.8,MEDIUM
103.17,0.391,2,1,0,0.253,1.8,MEDIUM
209.11,0.846,0,1,0,0.051,1.2,MEDIUM
156.97,0.586,2,0,0,0.355,1.6,MEDIUM
73.15,0.422,1,0,0,0.49,1.0,MEDIUM
85.6,0.532,1,1,0,0.499,1.6,MEDIUM
74.9,0.54,2,0,0,0.08,0.8,MEDIUM
25.07,0.321,4,0,0,0.215,1.6,LOW
146.72,0.659,2,0,0,0.253,0.9,MEDIUM
123.81,0.643,2,0,1,0.326,1.0,MEDIUM
93.03,0.503,0,2,0,0.147,0.9,MEDIUM
63.74,0.452,0,1,0,0.448,1.0,MEDIUM
105.35,0.614,5,1,0,0.372,1.0,HIGH
147.33,0.605,0,0,0,0.204,1.2,MEDIUM
108.94,0.529,0,0,1,0.148,1.0,MEDIUM
35.55,0.144,3,0,0,0.344,1.3,LOW
107.22,0.384,4,0,0,0.505,1.3,MEDIUM
122.27,0.451,5,1,0,0.079,1.2,MEDIUM
154.8,0.599,1,1,0,0.292,0.9,MEDIUM
190.07,0.826,0,0,1,0.266,1.6,MEDIUM
60.34,0.221,1,0,1,0.425,0.8,LOW
124.05,0.649,2,0,0,0.037,0.9,MEDIUM
27.71,0.381,2,0,1,0.538,1.6,LOW
101.67,0.586,0,1,0,0.335,0.9,MEDIUM
87.01,0.401,0,0,0,0.077,1.3,LOW
76.67,0.405,0,0,0,0.326,1.2,LOW
37.73,0.287,4,0,1,0.261,1.3,MEDIUM
73.96,0.314,4,0,0,0.231,1.3,MEDIUM
130.97,0.501,1,1,0,0.417,1.0,MEDIUM
72.86,0.289,0,0,0,0.5,1.3,LOW
33.89,0.194,2,0,0,0.446,0.8,LOW
118.61,0.697,4,2,0,0.416,0.8,HIGH
23.74,0.37,2,2,0,0.301,1.0,MEDIUM
99.33,0.355,1,0,0,0.335,1.8,MEDIUM
174.35,0.625,4,0,1,0.104,1.6,MEDIUM
86.87,0.41,1,0,3,0.285,1.0,MEDIUM
157.89,0.554,5,0,0,0.15,1.6,MEDIUM
88.79,0.61,0,1,0,0.442,1.3,MEDIUM
46.96,0.319,2,1,1,0.468,1.0,MEDIUM
26.67,0.262,0,0,0,0.453,0.8,LOW
135.4,0.749,4,0,1,0.182,1.3,HIGH
65.37,0.499,1,0,0,0.206,1.2,LOW
38.87,0.303,1,0,0,0.205,1.6,LOW
65.18,0.262,3,1,0,0.314,1.8,MEDIUM
52.29,0.384,3,0,0,0.299,1.8,MEDIUM
151.31,0.595,2,0,0,0.285,1.3,MEDIUM
53.15,0.449,3,0,0,0.207,1.0,MEDIUM
115.18,0.697,3,0,0,0.404,1.8,MEDIUM
167.16,0.823,2,0,0,0.487,1.3,MEDIUM
207.99,0.955,3,0,0,0.117,1.8,HIGH
111.68,0.682,3,1,0,0.028,1.3,MEDIUM
44.74,0.243,1,1,0,0.439,0.8,LOW
167.72,0.805,2,0,1,0.356,0.8,MEDIUM
167.34,0.603,1,0,1,0.301,1.8,MEDIUM
147.46,0.613,0,1,0,0.493,0.9,MEDIUM
116.31,0.437,5,0,0,0.262,1.6,MEDIUM
125.14,0.679,1,0,0,0.395,1.8,MEDIUM
196.29,0.972,0,0,1,0.248,0.8,MEDIUM
58.57,0.404,0,0,0,0.173,1.2,LOW
47.83,0.205,2,0,0,0.177,0.9,LOW
64.43,0.323,1,0,0,0.231,1.6,LOW
82.23,0.554,0,0,1,0.255,0.9,MEDIUM
59.63,0.388,1,1,0,0.353,1.8,MEDIUM
68.1,0.468,1,0,2,0.479,0.9,MEDIUM
165.24,0.676,2,1,0,0.175,0.8,MEDIUM
75.29,0.396,2,0,0,0.154,1.0,LOW
24.55,0.344,2,0,0,0.462,1.3,LOW
115.37,0.438,0,0,1,0.52,1.8,MEDIUM
105.63,0.449,0,0,0,0.087,1.8,MEDIUM
43.71,0.213,3,0,1,0.599,1.3,LOW
42.43,0.254,6,0,0,0.417,1.2,MEDIUM
83.71,0.403,3,0,0,0.229,0.8,MEDIUM
153.64,0.626,1,2,0,0.156,1.3,HIGH
34.16,0.366,1,0,0,0.656,1.6,LOW
51.43,0.36,0,3,0,0.125,0.9,MEDIUM
119.09,0.428,3,1,0,0.177,1.8,MEDIUM
51.47,0.379,0,1,0,0.428,0.8,MEDIUM
106.48,0.639,1,0,0,0.176,0.9,MEDIUM
40.78,0.332,1,0,0,0.222,1.3,LOW
155.46,0.625,0,0,0,0.233,1.3,MEDIUM
97.38,0.527,2,0,1,0.2,0.8,MEDIUM
106.76,0.586,3,0,0,0.222,0.9,MEDIUM
106.07,0.636,1,0,0,0.253,1.6,MEDIUM
69.09,0.347,0,0,0,0.555,1.6,LOW
24.42,0.29,0,2,0,0.414,1.2,MEDIUM
179.41,0.785,1,2,0,0.452,1.0,HIGH
80.37,0.527,2,0,1,0.272,1.3,MEDIUM
5.08,0.27,0,0,0,0.417,1.3,LOW
88.8,0.56,2,2,0,0.304,1.2,MEDIUM
27.06,0.138,1,0,0,0.193,1.3,LOW
60.34,0.211,0,0,0,0.263,1.3,LOW
101.21,0.464,0,0,3,0.237,1.3,MEDIUM
138.94,0.611,1,0,1,0.247,0.8,MEDIUM
184.63,0.8,6,0,0,0.133,0.8,HIGH
90.77,0.536,0,2,0,0.369,0.8,MEDIUM
53.49,0.26,0,0,1,0.272,0.8,LOW
22.24,0.368,0,0,0,0.17,1.2,LOW
145.09,0.674,2,0,1,0.288,1.3,MEDIUM
91.42,0.612,3,0,0,0.191,0.8,MEDIUM
73.33,0.346,2,0,0,0.498,1.2,LOW
30.84,0.343,1,0,1,0.39,1.0,LOW
43.33,0.178,0,0,0,0.636,1.2,LOW
65.35,0.353,3,0,0,0.17,0.8,LOW
91.71,0.529,1,0,1,0.44,0.8,MEDIUM
78.33,0.506,3,0,2,0.308,1.6,MEDIUM
78.58,0.549,2,1,0,0.269,1.6,MEDIUM
108.6,0.412,2,0,0,0.203,1.6,MEDIUM
51.24,0.476,2,1,1,0.452,1.3,MEDIUM
36.19,0.139,2,0,0,0.293,0.8,LOW
67.16,0.237,0,1,0,0.425,1.2,MEDIUM
101.2,0.355,2,2,0,0.078,1.8,MEDIUM
100.76,0.487,0,0,0,0.311,1.2,MEDIUM
53.31,0.19,5,0,0,0.154,1.0,LOW
84.86,0.312,2,0,0,0.112,1.6,MEDIUM
44.65,0.456,0,0,0,0.315,0.9,LOW
129.98,0.458,3,0,0,0.137,1.3,MEDIUM
111.84,0.536,1,1,2,0.249,1.2,MEDIUM
174.12,0.824,1,0,0,0.474,0.8,MEDIUM
119.21,0.461,2,2,0,0.165,1.2,MEDIUM
6.51,0.12,6,0,0,0.222,1.0,LOW
58.95,0.234,0,0,0,0.17,1.6,LOW
127.17,0.654,0,0,0,0.312,1.0,MEDIUM
46.4,0.192,0,0,0,0.515,1.3,LOW
57.0,0.455,2,3,0,0.43,1.2,MEDIUM
26.91,0.324,6,0,0,0.602,1.8,MEDIUM
32.44,0.399,3,0,0,0.424,1.2,LOW
71.66,0.316,0,0,0,0.399,1.2,LOW
85.31,0.551,0,0,0,0.089,1.6,MEDIUM
25.33,0.208,1,0,0,0.546,0.8,LOW
219.19,0.973,0,1,0,0.549,1.2,HIGH
28.28,0.399,0,0,2,0.479,0.8,LOW
87.49,0.447,2,0,0,0.371,1.2,MEDIUM
22.44,0.283,3,1,3,0.296,1.8,MEDIUM
31.93,0.186,2,2,0,0.164,1.8,MEDIUM
136.4,0.655,0,1,0,0.391,0.8,MEDIUM
43.77,0.451,2,0,0,0.409,1.2,LOW
25.9,0.111,6,0,0,0.22,0.9,LOW
109.0,0.651,1,1,0,0.523,1.6,MEDIUM
131.62,0.737,0,1,0,0.183,1.6,MEDIUM
71.67,0.287,0,0,0,0.532,1.8,LOW
103.45,0.402,1,1,1,0.155,0.9,MEDIUM
59.1,0.432,0,0,0,0.471,1.3,LOW
16.62,0.347,4,0,0,0.171,0.8,LOW
43.05,0.276,1,0,0,0.55,1.8,LOW
50.65,0.453,1,0,0,0.268,0.9,LOW
39.78,0.177,0,1,1,0.169,1.8,LOW
123.61,0.638,0,0,0,0.22,0.8,MEDIUM
106.55,0.521,6,1,2,0.041,0.8,HIGH
61.9,0.37,0,0,0,0.173,1.3,LOW
147.76,0.8,1,1,0,0.227,1.6,HIGH
57.23,0.397,3,2,0,0.187,1.3,MEDIUM
44.95,0.321,2,1,0,0.103,0.8,MEDIUM
69.01,0.482,1,0,0,0.185,0.9,MEDIUM
39.44,0.284,1,0,1,0.14,1.0,LOW
57.34,0.459,4,1,0,0.6,1.8,MEDIUM
102.78,0.424,2,0,1,0.12,1.8,MEDIUM
83.84,0.43,0,1,2,0.218,1.8,MEDIUM
129.66,0.55,3,0,0,0.475,0.9,MEDIUM
19.98,0.296,0,0,1,0.278,1.3,LOW
11.96,0.244,3,0,0,0.342,0.8,LOW
30.9,0.223,1,1,1,0.258,1.2,LOW
68.46,0.297,0,1,0,0.168,1.6,MEDIUM
9.01,0.212,5,0,0,0.185,1.0,LOW
202.05,0.892,0,0,1,0.095,1.3,MEDIUM
52.08,0.348,1,0,0,0.132,1.2,LOW
89.5,0.6,0,0,0,0.292,1.2,MEDIUM
155.93,0.751,1,1,2,0.274,1.8,HIGH
124.6,0.709,2,0,1,0.025,1.3,MEDIUM
67.36,0.379,3,0,0,0.239,0.8,LOW
54.29,0.329,1,0,1,0.13,1.3,LOW
207.23,0.719,5,3,0,0.306,1.8,HIGH
69.58,0.246,1,1,1,0.084,0.8,MEDIUM
57.71,0.396,0,0,0,0.508,0.9,LOW
52.54,0.233,1,0,1,0.631,1.3,LOW
141.97,0.716,7,0,1,0.592,0.8,HIGH
163.16,0.867,0,0,0,0.324,0.9,MEDIUM
22.02,0.253,0,0,1,0.567,1.3,LOW
125.53,0.606,1,0,0,0.181,0.8,MEDIUM
42.54,0.418,3,1,1,0.104,1.8,MEDIUM
33.82,0.363,0,1,1,0.25,0.8,LOW
72.58,0.323,1,0,0,0.105,0.9,LOW
162.81,0.768,4,0,2,0.524,1.3,HIGH
140.92,0.759,0,0,1,0.389,1.3,MEDIUM
80.43,0.444,0,0,1,0.183,1.3,MEDIUM
34.46,0.337,0,0,1,0.173,1.6,LOW
136.19,0.709,2,0,0,0.147,0.9,MEDIUM
73.45,0.413,0,0,1,0.341,0.8,LOW
83.64,0.404,0,0,0,0.274,1.3,LOW
58.85,0.254,2,0,1,0.227,1.2,LOW
45.76,0.241,0,0,0,0.16,1.0,LOW
128.0,0.695,0,2,0,0.484,1.2,HIGH
195.69,0.737,6,1,2,0.18,1.0,HIGH
123.15,0.594,0,1,0,0.223,1.8,MEDIUM
143.05,0.62,5,0,0,0.217,0.8,MEDIUM
82.17,0.339,0,0,2,0.328,1.6,MEDIUM
67.64,0.426,3,0,2,0.447,1.2,MEDIUM
82.65,0.39,2,0,1,0.398,1.6,MEDIUM
46.59,0.197,3,0,1,0.417,1.3,LOW
46.74,0.304,0,1,0,0.079,1.0,LOW
22.2,0.256,5,0,1,0.179,1.0,LOW
53.46,0.344,2,0,2,0.375,1.6,MEDIUM
204.63,0.838,1,1,3,0.022,0.8,HIGH
64.12,0.383,0,0,0,0.357,1.3,LOW
119.82,0.71,0,1,0,0.151,1.3,MEDIUM
16.63,0.338,4,0,1,0.173,1.0,LOW
36.73,0.421,1,0,0,0.072,0.9,LOW
110.79,0.51,4,0,1,0.197,1.0,MEDIUM
64.43,0.378,1,1,1,0.105,0.8,MEDIUM
54.08,0.287,1,0,0,0.668,1.8,LOW
81.9,0.562,2,2,0,0.109,0.9,MEDIUM
101.85,0.593,4,3,0,0.155,1.0,HIGH
55.19,0.26,0,1,0,0.389,1.0,LOW
148.89,0.677,0,0,0,0.112,1.8,MEDIUM
124.94,0.73,3,0,0,0.358,1.2,MEDIUM
69.96,0.529,3,2,3,0.221,0.8,HIGH
115.11,0.506,1,0,1,0.123,0.8,MEDIUM
45.42,0.199,5,1,0,0.439,1.8,MEDIUM
54.6,0.372,1,0,0,0.163,1.8,LOW
138.39,0.552,2,2,0,0.269,0.9,HIGH
90.97,0.589,0,1,1,0.461,1.8,MEDIUM
76.35,0.433,5,0,1,0.234,0.8,MEDIUM
98.3,0.5,4,2,0,0.285,0.9,MEDIUM
62.59,0.293,2,0,0,0.222,1.6,LOW
59.86,0.323,1,0,0,0.27,1.3,LOW
81.17,0.503,0,1,1,0.582,1.6,MEDIUM
40.65,0.174,2,0,0,0.522,1.6,LOW
56.75,0.205,5,0,0,0.167,1.6,MEDIUM
14.42,0.229,3,0,3,0.398,1.0,MEDIUM
91.87,0.544,0,0,1,0.379,1.2,MEDIUM
20.2,0.225,0,0,0,0.149,1.0,LOW
41.78,0.153,1,3,0,0.447,1.0,MEDIUM
29.9,0.132,1,0,0,0.197,1.0,LOW
71.9,0.533,0,0,0,0.166,1.6,LOW
64.76,0.359,0,1,0,0.331,1.0,MEDIUM
91.28,0.374,1,0,1,0.188,1.0,MEDIUM
158.64,0.672,4,0,0,0.161,1.6,MEDIUM
124.49,0.452,2,1,0,0.469,0.8,MEDIUM
87.18,0.412,1,0,1,0.158,1.0,MEDIUM
19.94,0.104,3,0,2,0.242,0.8,LOW
68.33,0.392,0,0,2,0.103,1.3,MEDIUM
70.07,0.518,0,0,2,0.316,1.6,MEDIUM
177.7,0.899,1,0,0,0.398,1.2,MEDIUM
4.51,0.208,1,1,2,0.437,1.3,LOW
35.09,0.188,0,1,1,0.311,1.6,LOW
77.23,0.291,0,0,1,0.491,1.2,LOW
147.76,0.519,1,1,0,0.192,1.8,MEDIUM
53.78,0.201,1,0,1,0.217,0.9,LOW
72.03,0.348,2,2,3,0.419,0.8,MEDIUM
56.56,0.461,1,2,0,0.284,1.6,MEDIUM
38.66,0.402,1,0,0,0.523,0.9,LOW
81.38,0.567,0,1,1,0.708,1.3,MEDIUM
53.88,0.371,0,0,1,0.575,1.2,LOW
124.98,0.523,2,2,0,0.491,1.3,HIGH
109.6,0.533,0,0,0,0.279,1.0,MEDIUM
48.63,0.412,3,0,1,0.414,1.8,MEDIUM
128.35,0.451,3,2,2,0.371,1.6,HIGH
26.69,0.158,1,0,0,0.659,1.0,LOW
101.26,0.508,0,1,0,0.147,0.9,MEDIUM
52.21,0.432,0,0,0,0.264,1.8,LOW
23.48,0.238,1,0,1,0.375,1.2,LOW
60.3,0.451,0,0,0,0.256,1.2,LOW
84.0,0.503,0,0,0,0.388,1.8,MEDIUM
50.3,0.284,1,0,0,0.473,1.8,LOW
103.49,0.601,6,0,1,0.061,1.8,MEDIUM
10.39,0.046,5,0,0,0.716,1.3,LOW
41.61,0.238,1,0,0,0.315,1.8,LOW
37.18,0.341,1,0,0,0.238,0.8,LOW
70.05,0.47,1,1,0,0.505,1.3,MEDIUM
44.75,0.242,4,0,1,0.603,1.8,MEDIUM
160.55,0.573,0,0,2,0.507,0.8,MEDIUM
110.84,0.458,1,0,2,0.25,0.8,MEDIUM
69.3,0.318,0,0,1,0.215,0.8,LOW
32.42,0.131,1,0,1,0.478,1.3,LOW
47.8,0.343,1,0,0,0.367,1.8,LOW
49.5,0.209,7,1,0,0.36,1.8,MEDIUM
61.67,0.331,1,0,0,0.121,0.8,LOW
64.58,0.302,1,1,0,0.501,1.6,MEDIUM
144.83,0.739,3,0,0,0.392,1.0,MEDIUM
76.17,0.309,0,0,0,0.084,1.3,LOW
36.11,0.351,0,0,1,0.274,1.6,LOW
16.36,0.31,1,0,1,0.479,1.2,LOW
80.42,0.508,4,1,0,0.369,1.0,MEDIUM
79.78,0.515,0,0,0,0.191,1.0,LOW
34.16,0.259,1,0,1,0.02,1.3,LOW
70.28,0.529,1,0,0,0.747,1.3,MEDIUM
108.95,0.512,0,0,0,0.353,1.6,MEDIUM
40.52,0.152,3,0,1,0.522,1.6,LOW
71.19,0.496,0,1,1,0.275,1.0,MEDIUM
48.85,0.446,3,0,0,0.315,1.8,MEDIUM
93.9,0.505,3,2,0,0.648,0.8,HIGH
62.3,0.456,0,2,0,0.275,1.0,MEDIUM
84.04,0.464,2,0,0,0.284,0.8,MEDIUM
121.69,0.646,2,0,0,0.316,1.3,MEDIUM
165.76,0.731,1,0,0,0.194,1.3,MEDIUM
32.69,0.306,0,1,0,0.64,1.0,LOW
38.72,0.356,1,0,0,0.244,0.9,LOW
61.4,0.502,0,1,1,0.36,0.9,MEDIUM
142.51,0.532,2,0,0,0.244,0.8,MEDIUM
30.93,0.4,0,0,0,0.104,1.3,LOW
15.98,0.073,4,0,2,0.39,1.3,LOW
83.57,0.414,0,0,1,0.526,1.3,MEDIUM
73.28,0.527,0,1,0,0.464,0.8,MEDIUM
59.95,0.278,2,0,0,0.34,1.6,LOW
12.06,0.12,2,0,0,0.435,1.8,LOW
50.91,0.316,0,0,1,0.333,1.6,LOW
74.31,0.269,0,0,0,0.314,0.8,LOW
144.09,0.73,3,2,0,0.302,1.0,HIGH
179.48,0.895,0,0,0,0.48,1.0,MEDIUM
44.04,0.246,3,1,0,0.175,1.0,MEDIUM
42.8,0.249,1,0,0,0.362,1.0,LOW
82.68,0.448,0,1,0,0.156,1.3,MEDIUM
143.9,0.622,5,2,0,0.557,0.9,HIGH
67.39,0.28,5,1,1,0.191,1.2,MEDIUM
41.01,0.341,2,1,2,0.425,1.8,MEDIUM
118.13,0.608,1,0,0,0.421,1.2,MEDIUM
93.82,0.562,3,0,0,0.107,1.8,MEDIUM
99.83,0.565,2,0,0,0.481,0.9,MEDIUM
106.59,0.624,0,0,0,0.403,1.8,MEDIUM
43.02,0.164,1,0,1,0.278,0.8,LOW
62.37,0.435,5,0,0,0.515,0.9,MEDIUM
59.76,0.424,2,0,0,0.131,1.0,LOW
43.68,0.306,1,0,0,0.133,0.9,LOW
74.45,0.4,0,0,0,0.477,1.3,LOW
105.17,0.435,3,0,0,0.384,1.0,MEDIUM
65.63,0.292,0,0,0,0.235,1.2,LOW
38.71,0.394,1,0,0,0.372,1.8,LOW
110.89,0.665,1,0,1,0.557,1.6,MEDIUM
77.2,0.334,0,0,0,0.367,0.9,LOW
134.28,0.645,1,0,0,0.248,0.8,MEDIUM
100.63,0.421,5,1,0,0.443,1.2,MEDIUM
42.02,0.378,3,0,0,0.214,1.8,LOW
24.79,0.096,3,0,2,0.249,1.0,LOW
90.1,0.41,1,0,0,0.437,1.3,MEDIUM
54.25,0.44,3,2,1,0.218,1.3,MEDIUM
22.98,0.232,0,0,0,0.343,0.9,LOW
110.81,0.576,1,0,0,0.159,1.3,MEDIUM
44.34,0.352,4,0,0,0.208,0.9,LOW
126.65,0.546,4,0,0,0.61,1.3,MEDIUM
128.7,0.684,3,1,1,0.205,1.3,HIGH
75.21,0.398,1,0,0,0.364,0.8,MEDIUM
55.09,0.459,4,0,0,0.189,1.2,MEDIUM
112.0,0.556,0,0,2,0.039,1.8,MEDIUM
64.11,0.369,1,0,0,0.258,1.3,LOW
41.16,0.168,0,0,1,0.221,1.8,LOW
74.13,0.419,3,0,0,0.326,0.9,MEDIUM
88.91,0.347,0,2,1,0.272,0.8,MEDIUM
109.02,0.448,3,0,0,0.502,1.2,MEDIUM
35.81,0.179,2,0,0,0.341,0.9,LOW
16.65,0.344,2,0,0,0.051,1.8,LOW
46.65,0.279,5,0,0,0.182,0.9,LOW
72.09,0.508,1,1,1,0.031,1.8,MEDIUM
50.88,0.312,0,1,0,0.268,1.3,LOW
118.3,0.686,0,2,0,0.161,0.8,MEDIUM
36.39,0.197,1,0,0,0.381,0.9,LOW
79.75,0.435,0,0,0,0.164,1.6,LOW
41.78,0.333,3,1,0,0.381,0.8,MEDIUM
112.41,0.523,1,1,0,0.267,1.0,MEDIUM
57.67,0.25,1,1,0,0.44,1.2,MEDIUM
59.55,0.229,0,0,0,0.504,1.3,LOW
38.95,0.342,0,0,1,0.141,1.8,LOW
62.6,0.476,2,0,0,0.229,1.6,LOW
185.47,0.683,2,0,1,0.601,1.2,MEDIUM
90.74,0.525,2,1,0,0.226,1.8,MEDIUM
99.64,0.53,3,0,0,0.59,0.9,MEDIUM
83.65,0.422,0,0,2,0.183,1.2,MEDIUM
31.01,0.244,4,2,0,0.241,1.0,MEDIUM
51.37,0.19,2,0,0,0.632,0.8,LOW
103.58,0.604,0,0,0,0.285,0.9,MEDIUM
99.24,0.556,0,0,0,0.243,1.6,MEDIUM
98.56,0.502,1,0,0,0.305,1.3,MEDIUM
130.36,0.736,0,0,2,0.609,1.6,MEDIUM
68.19,0.282,1,0,0,0.26,1.6,LOW
86.24,0.602,0,0,0,0.184,1.2,MEDIUM
53.84,0.206,1,0,0,0.289,0.8,LOW
185.98,0.864,2,0,0,0.372,0.9,MEDIUM
101.05,0.58,2,0,0,0.536,1.2,MEDIUM
174.34,0.764,2,0,0,0.402,0.9,MEDIUM
80.55,0.465,0,0,2,0.155,1.6,MEDIUM
78.77,0.314,2,2,0,0.176,1.8,MEDIUM
62.05,0.452,1,0,0,0.128,0.8,LOW
120.27,0.665,1,0,0,0.085,1.6,MEDIUM
119.0,0.649,2,0,0,0.121,0.9,MEDIUM
67.97,0.373,1,0,0,0.104,0.9,LOW
48.53,0.25,0,1,0,0.333,1.2,LOW
47.8,0.429,0,0,0,0.145,1.2,LOW
166.9,0.661,3,0,3,0.088,1.6,HIGH
74.87,0.557,2,1,0,0.329,1.0,MEDIUM
52.51,0.222,2,1,0,0.425,1.6,MEDIUM
20.54,0.251,1,0,2,0.692,1.6,LOW
80.0,0.427,0,1,1,0.502,1.2,MEDIUM
180.87,0.655,1,0,1,0.333,0.9,MEDIUM
90.25,0.356,1,0,0,0.468,0.9,MEDIUM
74.73,0.457,1,1,0,0.229,1.6,MEDIUM
135.39,0.481,3,0,0,0.788,1.0,MEDIUM
92.54,0.612,1,0,0,0.426,0.9,MEDIUM
163.43,0.764,0,0,2,0.325,0.9,MEDIUM
29.54,0.262,2,1,1,0.074,1.6,MEDIUM
56.92,0.312,1,1,0,0.572,1.3,MEDIUM
64.53,0.237,4,1,0,0.216,1.3,MEDIUM
152.32,0.704,0,0,1,0.2,1.2,MEDIUM
39.22,0.345,0,1,0,0.449,1.3,LOW
55.74,0.472,5,0,0,0.638,0.9,MEDIUM
52.97,0.458,3,0,0,0.271,1.0,MEDIUM
112.49,0.437,5,1,0,0.351,1.3,MEDIUM
130.14,0.508,0,2,0,0.209,0.8,MEDIUM
160.92,0.603,0,1,0,0.35,0.9,MEDIUM
127.55,0.698,1,0,0,0.247,0.9,MEDIUM
113.41,0.49,2,2,0,0.307,1.3,MEDIUM
108.14,0.436,0,0,1,0.536,1.3,MEDIUM
103.43,0.397,2,1,0,0.209,0.9,MEDIUM
26.44,0.231,1,0,0,0.094,0.9,LOW
121.93,0.597,2,1,0,0.301,1.3,MEDIUM
118.21,0.702,0,0,3,0.377,1.0,MEDIUM
62.49,0.388,0,0,0,0.11,0.8,LOW
92.9,0.517,7,0,1,0.507,1.8,MEDIUM
182.88,0.846,2,0,3,0.279,1.8,HIGH
205.59,0.722,3,0,3,0.616,1.2,HIGH
169.19,0.866,1,1,0,0.414,1.6,HIGH
199.29,0.761,4,0,1,0.427,1.2,HIGH
71.38,0.413,2,1,0,0.57,0.8,MEDIUM
39.25,0.324,6,0,0,0.23,0.8,MEDIUM
53.12,0.372,1,0,0,0.675,1.6,LOW
71.66,0.313,2,0,0,0.23,1.0,LOW
138.08,0.647,3,0,1,0.427,0.8,MEDIUM
101.86,0.592,5,0,0,0.251,0.9,MEDIUM
39.74,0.355,2,0,0,0.137,1.8,LOW
27.54,0.156,0,0,0,0.087,1.0,LOW
83.22,0.38,2,0,0,0.54,0.9,MEDIUM
60.26,0.273,5,0,0,0.448,1.3,MEDIUM
75.65,0.49,0,0,0,0.132,1.2,LOW
12.35,0.11,0,0,0,0.456,0.8,LOW
31.76,0.21,3,0,0,0.551,0.9,LOW
156.66,0.618,6,0,0,0.234,1.0,MEDIUM
10.42,0.051,4,0,0,0.117,1.2,LOW
103.59,0.401,3,0,0,0.313,1.8,MEDIUM
149.59,0.708,1,0,1,0.608,1.0,MEDIUM
30.67,0.375,0,0,1,0.573,1.0,LOW
80.43,0.38,0,2,0,0.167,1.2,MEDIUM
60.38,0.423,1,0,1,0.107,1.8,MEDIUM
111.98,0.478,1,1,1,0.063,1.3,MEDIUM
101.2,0.594,5,0,0,0.233,1.2,MEDIUM
49.47,0.418,3,0,0,0.43,0.9,MEDIUM
172.52,0.745,1,0,0,0.402,1.8,MEDIUM
20.36,0.101,4,1,0,0.306,1.6,LOW
134.58,0.68,0,0,0,0.663,1.6,MEDIUM
52.77,0.38,1,0,0,0.35,1.3,LOW
176.55,0.758,4,0,1,0.45,1.8,HIGH
99.03,0.391,0,0,0,0.222,0.9,MEDIUM
115.35,0.628,0,0,0,0.149,0.8,MEDIUM
140.29,0.575,1,0,0,0.244,1.3,MEDIUM
77.78,0.551,2,2,0,0.229,1.3,MEDIUM
85.41,0.449,3,0,0,0.19,1.8,MEDIUM
49.37,0.211,2,2,1,0.096,1.8,MEDIUM
114.54,0.423,2,1,0,0.202,1.6,MEDIUM
25.8,0.189,1,0,0,0.317,0.9,LOW
30.19,0.24,1,0,0,0.055,0.8,LOW
183.86,0.693,0,1,0,0.21,1.8,MEDIUM
95.76,0.588,1,1,0,0.241,1.3,MEDIUM
82.68,0.542,2,0,0,0.263,1.8,MEDIUM
40.95,0.428,2,1,0,0.44,1.2,MEDIUM
61.57,0.329,0,0,0,0.386,1.2,LOW
181.27,0.67,1,0,1,0.458,1.6,MEDIUM
53.29,0.219,4,0,2,0.592,0.8,MEDIUM
51.8,0.407,0,0,1,0.207,1.6,LOW
25.6,0.295,0,0,0,0.334,1.3,LOW
56.71,0.452,1,1,0,0.057,1.8,MEDIUM
37.13,0.279,2,1,2,0.273,0.9,MEDIUM
91.62,0.556,2,1,0,0.509,1.6,MEDIUM
61.74,0.443,0,0,0,0.219,0.8,LOW
28.0,0.211,0,0,3,0.417,0.9,LOW
